name                    |obsid      |ra         |dec        |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
ASASSN-15lh             |00033886028| 22 02 29.3|-61 39 15.5|2016-05-07T21:12:58|2016-05-17T00:00:00|  2819.46000|   2783.72700|  2832.00000|  2016-05-18| 1.6435
ASASSN-15lh             |00033830037|22 02 06.10|-61 39 09.0|2015-09-18T01:33:58|2015-09-28T00:00:00|  2552.56000|   2499.11100|  2573.00000|  2015-09-29| 1.1889
ASASSN-15lh             |00033886071|22 01 50.84|-61 39 08.9|2016-12-04T00:03:58|2016-12-14T00:00:00|  2011.21100|   1981.09400|  2028.00000|  2016-12-15| 2.9520
ASASSN-15lh             |00033886024|22 02 23.16|-61 39 07.2|2016-04-24T15:53:58|2016-05-04T00:00:00|  2030.92500|   1994.58500|  2044.00000|  2016-05-05| 1.0232
ASASSN-15lh             |00033830055|22 01 52.63|-61 39 04.9|2015-12-21T03:42:57|2015-12-31T00:00:00|  2301.70100|   2266.97800|  2314.00000|  2016-01-01| 2.7537
ASASSN-15lh             |00033886034|22 02 01.58|-61 39 04.6|2016-05-25T13:36:59|2016-06-04T00:00:00|   874.49300|    823.71800|   904.00000|  2016-06-05| 1.7206
ASASSN-15lh             |00033874007|22 02 00.15|-61 39 04.5|2015-09-07T20:05:25|2015-09-17T00:00:00|  2347.59600|   1705.38100|  1768.00000|  2015-09-18| 1.8838
ASASSN-15lh             |00033886020|22 02 21.91|-61 39 04.5|2016-04-01T23:58:58|2016-04-12T00:00:00|  3408.39800|   3489.46000|  3584.00000|  2016-04-12| 0.9166
ASASSN-15lh             |00033830065|22 02 44.33|-61 39 03.8|2016-03-02T21:25:58|2016-03-12T00:00:00|  1815.26500|   1795.73900|  1857.00000|  2016-03-13| 3.4662
ASASSN-15lh             |00033830027|22 02 22.31|-61 39 03.6|2015-07-20T11:19:58|2015-07-30T00:00:00|  2773.14500|   2721.92000|  2784.00000|  2015-07-31| 0.9656
