name                 |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
SwiftJ164449.3+573451|00032200101|16 44 55.23|57 34 21.6|2012-03-18T21:21:59|2017-04-16T00:00:00|  3239.41200|   3241.78100|  3256.00000|  2012-03-29| 0.9500
SwiftJ164449.3+573   |00031955126|16 44 39.44|57 34 22.0|2011-07-30T01:33:00|2016-09-27T00:00:00|  5460.28700|   5396.14600|  5580.00000|  2011-08-10| 1.3989
SwiftJ164449.3+573451|00032526208|16 44 52.41|57 34 22.2|2014-05-23T10:52:59|2018-02-16T00:00:00|  1717.50400|   1715.34300|  1723.00000|  2014-06-03| 0.6519
SwiftJ164449.3+573   |00031955077|16 44 47.68|57 34 22.4|2011-06-11T00:33:00|2016-09-15T00:00:00| 10145.80200|  10029.50000| 10379.00000|  2011-06-22| 0.5282
SwiftJ164449.3+573451|00032200066|16 44 49.75|57 34 22.8|2012-02-10T13:57:59|2017-04-14T00:00:00|  2789.85300|   2789.92700|  2873.00000|  2012-02-21| 0.4858
SwiftJ164449.3+573   |00031955180|16 44 42.98|57 34 22.8|2011-09-22T00:47:00|2016-09-30T00:00:00|  2231.46200|   2221.79800|  2215.00000|  2011-10-03| 0.9623
SwiftJ164449.3+573451|00032526194|16 44 55.68|57 34 22.8|2014-02-14T03:08:21|2018-01-31T00:00:00|   493.79100|      0.00000|     6.00000|  2014-02-25| 0.9924
SwiftJ164449.3+573451|00033765211| 16 44 32.3|57 34 22.9|2019-07-05T11:40:34|2019-07-15T00:00:00|  1677.38500|   1674.58700|  1682.00000|  2019-07-16| 2.3511
SwiftJ164449.3+573   |00031955055|16 44 40.60|57 34 23.4|2011-05-21T05:04:07|2016-09-14T00:00:00|  4230.64900|   4222.25400|  4386.00000|  2011-06-01| 1.2456
SwiftJ164449.3+573451|00032526222|16 44 41.85|57 34 23.7|2014-09-02T13:21:59|2018-03-02T00:00:00|  1647.79400|   1647.49100|  1659.00000|  2014-09-13| 1.0888
SwiftJ164449.3+573   |00031955143|16 44 41.35|57 34 23.9|2011-08-16T04:02:00|2016-09-28T00:00:00|  5152.66500|   5099.59200|  5187.00000|  2011-08-27| 1.1494
SwiftJ164449.3+573451|00032526212|16 44 40.33|57 34 23.9|2014-06-20T20:55:59|2018-02-20T00:00:00|  1678.82500|   1675.17200|  1696.00000|  2014-07-01| 1.2759
SwiftJ164449.3+573   |00031955013|16 44 51.78|57 34 23.9|2011-04-11T00:08:00|2016-09-12T00:00:00| 12646.50900|  12569.43200| 12404.00000|  2011-04-22| 0.5764
SwiftJ164449.3+573451|00033765225|16 44 33.79|57 34 24.2|2019-10-11T02:24:35|2019-10-21T00:00:00|  1913.31400|   1912.17000|  1933.00000|  2019-10-22| 2.1161
SwiftJ164449.3+573451|00032200151|16 44 50.78|57 34 24.3|2012-05-08T07:00:00|2017-04-23T00:00:00|   997.90200|    997.36500|  1005.00000|  2012-05-19| 0.5023
SwiftJ164449.3+573451|00033765109|16 44 44.88|57 34 24.3|2017-06-02T09:07:57|2017-06-12T00:00:00|  1563.72500|   1560.14200|  1575.00000|  2017-06-13| 0.7361
SwiftJ164449.3+573   |00031955039|16 44 53.14|57 34 24.3|2011-05-05T00:46:00|2016-09-13T00:00:00|  9912.54700|   9793.63500| 10085.00000|  2011-05-16| 0.6971
SwiftJ164449.3+573   |00031955035|16 44 49.28|57 34 24.3|2011-05-03T00:27:59|2016-09-13T00:00:00| 10833.56800|  10769.09900| 11004.00000|  2011-05-14| 0.4552
SwiftJ164449.3+573   |00031955094|16 44 45.31|57 34 24.3|2011-06-27T23:59:00|2016-09-16T00:00:00|  8484.70800|   8531.78900|  8802.00000|  2011-07-08| 0.6918
SwiftJ164449.3+573   |00031955033|16 44 53.96|57 34 24.4|2011-05-01T00:22:00|2016-09-13T00:00:00|  6693.71200|   6839.88100|  6996.00000|  2011-05-12| 0.7829
SwiftJ164449.3+573   |00031955102|16 44 41.53|57 34 24.4|2011-07-06T03:47:00|2016-09-26T00:00:00| 10041.27400|  10034.26400| 10141.00000|  2011-07-17| 1.1238
SwiftJ164449.3+573   |00031955189|16 44 38.11|57 34 24.5|2011-10-01T15:57:00|2016-10-12T00:00:00|  2989.36000|   3016.50000|  3032.00000|  2011-10-12| 1.5542
SwiftJ164449.3+573451|00032526149|16 44 49.97|57 34 24.6|2013-03-29T19:41:58|2017-11-06T00:00:00|  1071.14700|   1068.70400|  1072.00000|  2013-04-09| 0.4621
SwiftJ164449.3+573451|00032526165| 16 44 32.7|57 34 25.3|2013-07-26T05:08:16|2017-11-18T00:00:00|  1231.27500|   1230.56800|  1244.00000|  2013-08-06| 2.3382
SwiftJ164449.3+573451|00032200230|16 44 39.35|57 34 25.7|2012-08-07T05:41:59|2017-05-04T00:00:00|   972.83300|    971.73500|   979.00000|  2012-08-18| 1.3889
SwiftJ164449.3+573   |00031955149|16 44 49.80|57 34 25.7|2011-08-22T01:19:00|2016-09-28T00:00:00|  3916.86100|   3866.30000|  3977.00000|  2011-09-02| 0.4398
SwiftJ164449.3+573   |00031955190|16 44 33.91|57 34 25.8|2011-10-01T23:59:00|2016-10-12T00:00:00|  3167.71600|   3273.77700|  3335.00000|  2011-10-12| 2.0948
SwiftJ164449.3+573451|00033765015| 16 44 32.3|57 34 26.2|2015-07-31T06:14:58|2015-08-10T00:00:00|  1842.86000|   1840.44500|  1856.00000|  2015-08-11| 2.3395
SwiftJ164449.3+573451|00032526012|16 44 31.45|57 34 27.2|2012-08-27T18:01:59|2017-05-07T00:00:00|   990.38100|    987.87700|   996.00000|  2012-09-07| 2.4142
SwiftJ164449.3+573451|00032200119| 16 44 53.7|57 34 27.4|2012-04-05T12:49:00|2017-04-22T00:00:00|  1167.80400|   1153.83400|  1182.00000|  2012-04-16| 0.6579
SwiftJ164449.3+573451|00032526006|16 44 55.69|57 34 27.4|2012-08-20T23:58:58|2017-05-05T00:00:00|   420.14700|    583.39900|   598.00000|  2012-08-31| 0.9585
SwiftJ164449.3+573451|00033765103|16 44 27.11|57 34 27.6|2017-04-21T02:41:57|2017-05-01T00:00:00|  1567.06300|   1564.62200|  1573.00000|  2017-05-02| 2.9884
SwiftJ164449.3+573451|00033765104|16 44 56.20|57 34 27.8|2017-04-28T13:23:57|2017-05-08T00:00:00|  1032.99700|   1029.14000|  1044.00000|  2017-05-09| 1.0189
SwiftJ164449.3+573451|00032200177|16 44 45.92|57 34 27.9|2012-06-09T05:46:59|2017-04-26T00:00:00|  1007.97100|   1006.54400|  1014.00000|  2012-06-20| 0.5905
SwiftJ164449.3+573   |00031955098|16 44 44.51|57 34 28.2|2011-07-02T00:16:00|2016-09-26T00:00:00| 10162.67800|  10152.61300| 10277.00000|  2011-07-13| 0.7403
SwiftJ164449.3+573451|00032200162|16 44 47.29|57 34 28.8|2012-05-19T22:12:25|2017-04-24T00:00:00|   295.85200|    293.25500|   300.00000|  2012-05-30| 0.4577
SwiftJ164449.3+573   |00031955099|16 44 43.72|57 34 29.1|2011-07-03T00:21:00|2016-09-26T00:00:00| 11182.00900|  11173.18100| 11300.00000|  2011-07-14| 0.8248
SwiftJ164449.3+573451|00033765018|16 44 32.14|57 34 29.3|2015-08-21T12:52:57|2015-08-31T00:00:00|  1261.19500|   1258.44800|  1276.00000|  2015-09-01| 2.3166
SwiftJ164449.3+573451|00033765020|16 44 57.68|57 34 29.3|2015-08-28T13:48:58|2015-09-07T00:00:00|  1974.74800|   1973.33700|  1988.00000|  2015-09-08| 1.1964
SwiftJ164449.3+573451|00033765143|16 44 46.63|57 34 29.3|2018-02-08T23:58:57|2018-02-19T00:00:00|  1466.87000|   1292.94800|  1638.00000|  2018-02-19| 0.5067
SwiftJ164449.3+573   |00031955157|16 44 53.78|57 34 29.5|2011-08-30T01:50:00|2016-09-29T00:00:00|  5948.76800|   5939.02000|  5991.00000|  2011-09-10| 0.7169
SwiftJ164449.3+573451|00033765247|16 44 57.33|57 34 29.8|2020-03-20T02:59:36|2020-03-30T00:00:00|  1969.13800|   1967.07000|  1989.00000|  2020-03-31| 1.1492
SwiftJ164449.3+573   |00031955022|16 44 54.99|57 34 29.8|2011-04-20T01:13:00|2016-09-13T00:00:00| 12420.07700|  11263.58600| 12627.00000|  2011-05-01| 0.8564
SwiftJ164449.3+573451|00032200203|16 44 43.49|57 34 29.9|2012-07-05T08:23:59|2017-05-02T00:00:00|   897.60900|    896.55700|   904.00000|  2012-07-16| 0.8463
SwiftJ164449.3+573451|00033765219|16 44 33.58|57 34 30.5|2019-08-30T06:21:34|2019-09-09T00:00:00|  1473.05600|   1472.20000|  1479.00000|  2019-09-10| 2.1229
SwiftJ164449.3+573451|00032200213|16 44 34.98|57 34 30.5|2012-07-17T15:42:58|2017-05-02T00:00:00|   977.84400|    975.72900|   983.00000|  2012-07-28| 1.9381
SwiftJ164449.3+573   |00031955179| 16 44 33.7|57 34 30.8|2011-09-21T02:19:00|2016-09-30T00:00:00|   932.52700|    955.88100|   832.00000|  2011-10-02| 2.1897
SwiftJ164449.3+573451|00033765069|16 44 24.99|57 34 30.9|2016-08-12T16:36:58|2016-08-22T00:00:00|  1664.85100|   1664.33800|  1672.00000|  2016-08-23| 3.2636
SwiftJ164449.3+573   |00031955124|16 44 39.13|57 34 31.3|2011-07-28T01:26:00|2016-09-27T00:00:00|  3546.34200|   4891.10400|  5083.00000|  2011-08-08| 1.3908
SwiftJ164449.3+573   |00031955112|16 44 41.88|57 34 31.3|2011-07-16T01:29:20|2016-09-26T00:00:00|  7220.96800|   7558.62200|  7741.00000|  2011-07-27| 1.0372
SwiftJ164449.3+573   |00031955178|16 44 28.98|57 34 31.5|2011-09-20T08:41:00|2016-09-30T00:00:00|  2492.04200|   3072.00600|  3088.00000|  2011-10-01| 2.7302
SwiftJ164449.3+573   |00031955144|16 44 39.16|57 34 32.1|2011-08-17T02:30:00|2016-09-28T00:00:00|  2588.89400|   2544.10300|  2625.00000|  2011-08-28| 1.3843
SwiftJ164449.3+573451|00032526144|16 44 55.25|57 34 32.3|2013-02-22T21:44:58|2017-11-04T00:00:00|  1825.30700|   1822.30700|  1836.00000|  2013-03-05| 0.8719
SwiftJ164449.3+573   |00031955161| 16 44 39.4|57 34 32.9|2011-09-03T02:25:00|2016-09-29T00:00:00|  2946.94300|   2936.25700|  2991.00000|  2011-09-14| 1.3970
SwiftJ164449.3+573   |00031955072|16 44 48.27|57 34 32.9|2011-06-07T00:14:59|2016-09-15T00:00:00|  9907.19800|   9765.36000| 10176.00000|  2011-06-18| 0.3355
