name        |obsid      |ra         |dec       |start_time         |processing_date    |xrt_exposure|uvot_exposure|bat_exposure|archive_date|_offset
BRUTUS6984_2|00033539049| 12 48 03.9|17 45 55.0|2015-05-05T13:18:59|2015-05-15T00:00:00|  2326.77900|   2292.22100|  2340.00000|  2015-05-16| 2.9376
ASASSN-14LI |00094094014|12 48 00.45|17 45 57.4|2018-04-16T19:02:57|2018-04-26T00:00:00|  1612.19300|   1598.91200|  1618.00000|  2018-04-27| 3.5511
BRUTUS6984_2|00033539103|12 48 15.31|17 45 57.5|2017-03-14T20:11:57|2017-03-24T00:00:00|  1881.20100|   1831.17800|  1893.00000|  2017-03-25| 0.4837
BRUTUS6984_2|00033539038|12 48 11.77|17 45 58.8|2015-03-30T21:22:59|2015-04-09T00:00:00|  2452.13700|   2415.51500|  2464.00000|  2015-04-10| 0.9448
BRUTUS6984_2|00033539093|12 48 05.77|17 46 02.0|2016-05-18T16:30:58|2016-05-28T00:00:00|  2083.56200|   2008.85200|  2114.00000|  2016-05-29| 2.2881
BRUTUS6984_2|00033539081|12 48 20.48|17 46 07.2|2016-01-21T14:05:08|2016-01-31T00:00:00|   109.80300|      0.00000|     0.00000|  2016-02-01| 1.2896
ASASSN-14LI |00095140001|12 48 12.59|17 46 09.4|2019-04-02T01:22:34|2019-04-12T00:00:00|  1667.34600|   1575.53200|  1685.00000|  2019-04-13| 0.6899
BRUTUS6984_2|00033539069|12 48 09.66|17 46 10.5|2015-11-14T16:47:30|2015-11-24T00:00:00|  3264.50600|   3212.99600|  3276.00000|  2015-11-25| 1.3535
BRUTUS6984_2|00033539076|12 48 28.91|17 46 11.2|2015-12-13T19:47:58|2015-12-23T00:00:00|  2479.54600|   2441.74100|  2491.00000|  2015-12-24| 3.2665
BRUTUS6984_2|00033539094|12 48 03.14|17 46 12.3|2016-06-03T15:28:58|2016-06-13T00:00:00|  1740.05700|   1705.20400|  1587.00000|  2016-06-14| 2.8875
BRUTUS6984_2|00033539036|12 49 02.19|17 46 13.5|2015-03-24T05:54:35|2015-04-03T00:00:00|  1204.45300|    435.21600|  1218.00000|  2015-04-04|11.1812
BRUTUS6984_2|00033539018|12 48 19.19|17 46 14.7|2015-01-20T05:20:59|2015-01-30T00:00:00|  1949.42500|   1875.99300|  1629.00000|  2015-01-31| 0.9632
BRUTUS6984_2|00033539019|12 48 20.40|17 46 15.0|2015-01-23T13:10:59|2015-02-02T00:00:00|  2334.43400|   2282.43700|  2347.00000|  2015-02-03| 1.2444
