obsid|status    |name                |ra         |dec       |time               |detector|grating|exposure|type|pi         |public_date|_offset
19972|archived  |Abell 1795 outskirts|13 47 56.31|26 51 32.1|2017-04-08T06:55:46|ACIS-I  |NONE   |  33070.|GO  |Vikhlinin  | 2017-04-09|19.6389

Number of rows:    161
Number of columns: 13


---- Messages ----
----
Info: Search Radius
Search radius: 21' from chanmaster
----
----
Info: Name resolution
Position WINGS J134849.88+263557.5 corresponds to J2000 decimal coordinates:207.207833 26.599306
----
